,Row.names,Kingdom,Phylum,Class,Order,Family,Genus,Species,rab.all,rab.win.female,rab.win.male,diff.btw,diff.win,effect,overlap,we.ep,we.eBH,wi.ep,wi.eBH,Treatment,Group,Study,direct,id
644,741bd135e614533f94df0ce08b8dccd0,d__Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,NA,5.463765502,9.141697222,-1.825967734,-11.06672466,2.60345322,-4.259777815,0.000156633,0.000224906,0.006367139,0,0,treatment,2H7MK7,Ellis et al. 2021,Negative,2H7MK7_Ellis et al. 2021_Negative
645,7d501295153896babb8af5384bb71255,d__Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Acetatifactor,uncultured_bacterium,9.511241408,10.49895532,4.115101447,-6.451981338,5.448752152,-1.076321206,0.033483639,0.020409442,0.23326768,0.001343058,0.027721282,treatment,2H7MK7,Ellis et al. 2021,Negative,2H7MK7_Ellis et al. 2021_Negative
647,7fac4964fbc95ab2f51af4fc6a3f5b48,d__Bacteria,Firmicutes,Bacilli,Acholeplasmatales,Acholeplasmataceae,Anaeroplasma,uncultured_bacterium,3.673407357,-1.870039461,7.517200641,9.62375168,3.212654311,2.943810873,0.000156633,0.000275988,0.008120837,0.000582751,0.019495941,treatment,2H7MK7,Ellis et al. 2021,Positive,2H7MK7_Ellis et al. 2021_Positive
656,ad20db754215d13b3ac8d33afb654b9b,d__Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,CAG-352,uncultured_bacterium,5.946922368,-1.949714572,10.44110829,12.50023965,2.63545851,4.965275643,0.000156633,6.36816973161026e-05,0.003508878,0.000582751,0.019495941,treatment,2H7MK7,Ellis et al. 2021,Positive,2H7MK7_Ellis et al. 2021_Positive
659,b4d6edf2fed7f3c5477d370559a3a9cf,d__Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,NA,2.998576857,7.310587686,-1.798381799,-9.579289857,3.558365497,-2.594005735,0.000156633,0.000179268,0.005873101,0,0,treatment,2H7MK7,Ellis et al. 2021,Negative,2H7MK7_Ellis et al. 2021_Negative
662,c1e6a3b26cc7d12c8f7e22ebb092e001,d__Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,NA,5.526544749,10.47812257,-1.681736527,-12.16844005,2.950253509,-4.145464786,0.000156633,8.27188269863846e-05,0.00312593,0,0,treatment,2H7MK7,Ellis et al. 2021,Negative,2H7MK7_Ellis et al. 2021_Negative
670,d8eb518d96bf708e8353e78d62a39303,d__Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Marinifilaceae,Butyricimonas,NA,6.719319199,11.95385405,-1.658286015,-13.53464936,2.577843195,-5.517745591,0.000156633,7.00495475061264e-05,0.002999593,0,0,treatment,2H7MK7,Ellis et al. 2021,Negative,2H7MK7_Ellis et al. 2021_Negative
679,fc02af89d869043b296114729009a5b0,d__Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,CAG-352,uncultured_bacterium,5.387771013,9.127547684,-1.660155016,-10.64608085,2.331898399,-4.674496169,0.000156633,0.000134492,0.00441968,0,0,treatment,2H7MK7,Ellis et al. 2021,Negative,2H7MK7_Ellis et al. 2021_Negative
801,02b282568bb934d870824315c232fd8b,d__Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,NA,5.861805415,9.158234681,-1.811535748,-11.11673181,2.538393301,-4.300941336,0.000156633,0.000116032,0.004719726,0,0,treatment,2H7MK9,Ellis et al. 2021,Negative,2H7MK9_Ellis et al. 2021_Negative
805,109d8be93136956ca2520f3ee1ed4fa9,d__Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,NA,NA,8.720580675,10.27912637,6.338545714,-3.320883936,1.550061951,-2.069242719,0.000156633,0.020147977,0.213808838,0,0,treatment,2H7MK9,Ellis et al. 2021,Negative,2H7MK9_Ellis et al. 2021_Negative
808,1db8b37913edafca869c6d415ad3aceb,d__Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,Colidextribacter,uncultured_bacterium,6.877613056,7.83159616,5.291509408,-2.471335325,0.959822981,-2.553714904,0.000156633,0.000195737,0.008685667,1.36582167832196e-05,0.00031856,treatment,2H7MK9,Ellis et al. 2021,Negative,2H7MK9_Ellis et al. 2021_Negative
814,35ffdd51464e2c68179717e5334a1d7e,d__Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides_salyersiae,6.38997888,10.66719265,-1.799168272,-12.51140051,2.619136107,-4.873288745,0.000156633,7.45911655621097e-05,0.003671775,0,0,treatment,2H7MK9,Ellis et al. 2021,Negative,2H7MK9_Ellis et al. 2021_Negative
826,619f64f2bf103286f4f70bfd89500ed4,d__Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,NA,7.957838553,7.403598453,9.172937115,1.657144969,0.896501148,1.749487202,0.017859995,0.000639562,0.028055409,0.001493298,0.04201012,treatment,2H7MK9,Ellis et al. 2021,Positive,2H7MK9_Ellis et al. 2021_Positive
831,741bd135e614533f94df0ce08b8dccd0,d__Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,NA,5.198718477,9.020870831,-1.670447898,-10.48010984,2.428489567,-4.386451541,0.000156633,9.91064622672417e-05,0.004178674,0,0,treatment,2H7MK9,Ellis et al. 2021,Negative,2H7MK9_Ellis et al. 2021_Negative
833,7d501295153896babb8af5384bb71255,d__Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Acetatifactor,uncultured_bacterium,8.508263583,10.69576676,-0.73851042,-11.16339281,4.747548936,-2.156730855,0.000156633,0.002068014,0.045788003,0,0,treatment,2H7MK9,Ellis et al. 2021,Negative,2H7MK9_Ellis et al. 2021_Negative
836,7fac4964fbc95ab2f51af4fc6a3f5b48,d__Bacteria,Firmicutes,Bacilli,Acholeplasmatales,Acholeplasmataceae,Anaeroplasma,uncultured_bacterium,3.032184213,-2.149152658,5.449659145,8.620401678,3.465572761,2.438064495,0.000156633,0.000332647,0.011995116,0.000582751,0.022718624,treatment,2H7MK9,Ellis et al. 2021,Positive,2H7MK9_Ellis et al. 2021_Positive
840,8dde7ab997d5419d772d3686e259a471,d__Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,NA,NA,4.465354849,10.89573815,-0.498185974,-10.3680979,4.524982638,-2.211385604,0.017859995,0.000261884,0.009087828,0.000427957,0.010722888,treatment,2H7MK9,Ellis et al. 2021,Negative,2H7MK9_Ellis et al. 2021_Negative
843,9bdcbb3f4af192dc18dd944697425795,d__Bacteria,Firmicutes,Clostridia,Clostridia_UCG-014,Clostridia_UCG-014,Clostridia_UCG-014,unidentified,3.420211742,-2.205066378,6.239865076,9.446138302,3.494645226,2.820815856,0.000156633,0.000144683,0.007193305,0.000582751,0.022718624,treatment,2H7MK9,Ellis et al. 2021,Positive,2H7MK9_Ellis et al. 2021_Positive
848,ad20db754215d13b3ac8d33afb654b9b,d__Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,CAG-352,uncultured_bacterium,5.734557997,-2.176587731,10.96328271,13.04652525,3.283504034,4.323730918,0.000156633,5.23599459840478e-05,0.003164358,0.000582751,0.022718624,treatment,2H7MK9,Ellis et al. 2021,Positive,2H7MK9_Ellis et al. 2021_Positive
853,c1e6a3b26cc7d12c8f7e22ebb092e001,d__Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,NA,6.070183122,10.92130904,-1.684767214,-12.57078156,2.502245866,-5.075984713,0.000156633,2.86270018951193e-05,0.001668946,0,0,treatment,2H7MK9,Ellis et al. 2021,Negative,2H7MK9_Ellis et al. 2021_Negative
857,d006dd246f93f0b6c13cce206da7c478,d__Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,NA,NA,8.236538251,11.11557786,0.523521678,-10.05698222,5.680013388,-1.40323234,0.040179809,0.005112117,0.087592861,0.00171183,0.031387624,treatment,2H7MK9,Ellis et al. 2021,Negative,2H7MK9_Ellis et al. 2021_Negative
860,d8eb518d96bf708e8353e78d62a39303,d__Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Marinifilaceae,Butyricimonas,NA,7.08993399,11.88869559,-2.048952343,-14.03524324,2.695332737,-5.328576793,0.000156633,3.51871227629759e-05,0.002343374,0,0,treatment,2H7MK9,Ellis et al. 2021,Negative,2H7MK9_Ellis et al. 2021_Negative
869,fc02af89d869043b296114729009a5b0,d__Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,CAG-352,uncultured_bacterium,5.773897318,9.28034615,-1.954949356,-11.41879182,2.657744944,-4.405952797,0.000156633,0.000214047,0.007070505,0,0,treatment,2H7MK9,Ellis et al. 2021,Negative,2H7MK9_Ellis et al. 2021_Negative
685,102ebfe1ea2610313d56c3442f02c3b7,d__Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia,NA,1.471426548,-2.080781736,6.861300071,9.705609187,3.989925743,2.330387185,0.002249526,0.000319182,0.012181022,4.0974650349657e-05,0.001651552,treatment,2H7PK,Ellis et al. 2021,Positive,2H7PK_Ellis et al. 2021_Positive
686,109d8be93136956ca2520f3ee1ed4fa9,d__Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,NA,NA,9.258154473,9.742292892,6.83589125,-2.870034314,1.834240642,-1.406933754,0.033409065,0.005980736,0.102848073,0.001511509,0.037525058,treatment,2H7PK,Ellis et al. 2021,Negative,2H7PK_Ellis et al. 2021_Negative
688,1db8b37913edafca869c6d415ad3aceb,d__Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,Colidextribacter,uncultured_bacterium,6.660037052,7.628842611,5.874098509,-1.786124578,0.630290041,-2.689271544,0.000156633,3.19116296419394e-05,0.002656914,0.000582751,0.020103992,treatment,2H7PK,Ellis et al. 2021,Negative,2H7PK_Ellis et al. 2021_Negative
689,26c9f4f844da09bdd5c1603be193969c,d__Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,NA,NA,12.89618578,12.47207646,13.30991554,1.579344284,1.209090721,1.33354392,0.049108145,0.002567382,0.072625199,0.001238345,0.036375905,treatment,2H7PK,Ellis et al. 2021,Positive,2H7PK_Ellis et al. 2021_Positive
693,35ffdd51464e2c68179717e5334a1d7e,d__Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides_salyersiae,6.518779295,9.68086255,-1.414524978,-11.43050974,2.91791204,-3.883487655,0.000156633,0.000159128,0.006795117,0.000582751,0.020103992,treatment,2H7PK,Ellis et al. 2021,Negative,2H7PK_Ellis et al. 2021_Negative
700,619f64f2bf103286f4f70bfd89500ed4,d__Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,NA,7.557611128,6.5596679,9.026386473,2.619036801,1.075800912,2.375281988,0.000156633,5.86388289363308e-05,0.005635016,0,0,treatment,2H7PK,Ellis et al. 2021,Positive,2H7PK_Ellis et al. 2021_Positive
703,6797371940252066205fbd1b85d623ce,d__Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides_intestinalis,11.80664552,10.95495912,12.78365741,2.067642703,1.190696226,2.265957675,0.000156633,4.23121143447135e-05,0.004666178,0,0,treatment,2H7PK,Ellis et al. 2021,Positive,2H7PK_Ellis et al. 2021_Positive
704,6b694d799e64e40662193c9cb8639bac,d__Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,uncultured,NA,2.647199472,-2.024431747,7.696275678,9.454078196,3.502689575,2.754741326,0.000156633,0.000202045,0.009268795,0,0,treatment,2H7PK,Ellis et al. 2021,Positive,2H7PK_Ellis et al. 2021_Positive
705,741bd135e614533f94df0ce08b8dccd0,d__Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,NA,5.562114291,9.364572317,-1.957950121,-11.26149229,2.551735841,-4.559980566,0.000156633,0.000101155,0.004694167,0.000582751,0.020103992,treatment,2H7PK,Ellis et al. 2021,Negative,2H7PK_Ellis et al. 2021_Negative
707,7d501295153896babb8af5384bb71255,d__Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Acetatifactor,uncultured_bacterium,8.801836364,10.55532281,-0.655457783,-10.97528241,5.484905955,-1.37469716,0.037863226,0.005844872,0.100081777,0.002135235,0.049172294,treatment,2H7PK,Ellis et al. 2021,Negative,2H7PK_Ellis et al. 2021_Negative
709,7fac4964fbc95ab2f51af4fc6a3f5b48,d__Bacteria,Firmicutes,Bacilli,Acholeplasmatales,Acholeplasmataceae,Anaeroplasma,uncultured_bacterium,3.243597193,-1.9476657,5.92726521,8.269753161,3.409845001,2.468744943,0.000156633,0.000317036,0.011435672,0,0,treatment,2H7PK,Ellis et al. 2021,Positive,2H7PK_Ellis et al. 2021_Positive
714,8dde7ab997d5419d772d3686e259a471,d__Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,NA,NA,2.670645556,10.01239185,-2.008010554,-11.79096211,3.62410767,-3.094302799,0.000156633,5.1608854456589e-05,0.00262617,0.000582751,0.020103992,treatment,2H7PK,Ellis et al. 2021,Negative,2H7PK_Ellis et al. 2021_Negative
719,ad20db754215d13b3ac8d33afb654b9b,d__Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,CAG-352,uncultured_bacterium,4.915730461,-1.974320762,10.13364804,12.27783255,3.023580408,4.143929806,0.000156633,6.15706783382124e-05,0.003940438,0,0,treatment,2H7PK,Ellis et al. 2021,Positive,2H7PK_Ellis et al. 2021_Positive
721,b4d6edf2fed7f3c5477d370559a3a9cf,d__Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,NA,3.295045644,9.65506021,-1.920605659,-11.2464582,3.455238515,-3.280272615,0.000156633,5.86760907967877e-05,0.002914948,0.000582751,0.020103992,treatment,2H7PK,Ellis et al. 2021,Negative,2H7PK_Ellis et al. 2021_Negative
724,c1e6a3b26cc7d12c8f7e22ebb092e001,d__Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,NA,6.167886902,10.45306004,-1.799672491,-12.31386482,2.38306261,-5.104760739,0.000156633,6.74623004394616e-05,0.003361915,0.000582751,0.020103992,treatment,2H7PK,Ellis et al. 2021,Negative,2H7PK_Ellis et al. 2021_Negative
726,d006dd246f93f0b6c13cce206da7c478,d__Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,NA,NA,3.384388768,10.90563939,-0.73074996,-10.26436927,4.937323827,-1.884443645,0.024555631,0.00038886,0.013622937,0.001561589,0.038805143,treatment,2H7PK,Ellis et al. 2021,Negative,2H7PK_Ellis et al. 2021_Negative
728,d8eb518d96bf708e8353e78d62a39303,d__Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Marinifilaceae,Butyricimonas,NA,6.929684043,11.55952308,-1.313235416,-12.84968114,2.930388296,-4.436538213,0.000156633,8.23350262847051e-05,0.004239673,0.000582751,0.020103992,treatment,2H7PK,Ellis et al. 2021,Negative,2H7PK_Ellis et al. 2021_Negative
734,fc02af89d869043b296114729009a5b0,d__Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,CAG-352,uncultured_bacterium,4.592073706,9.465278624,-2.059856676,-11.09126268,2.662772063,-4.083778729,0.000156633,0.00019742,0.005717757,0.000582751,0.020103992,treatment,2H7PK,Ellis et al. 2021,Negative,2H7PK_Ellis et al. 2021_Negative
20,b5df6b3e09aba5b4c07aaa7690198885,d__Bacteria,Deferribacterota,Deferribacteres,Deferribacterales,Deferribacteraceae,Mucispirillum,uncultured_bacterium,5.928814956,7.841400982,4.269423941,-3.539868707,1.561066205,-2.084275235,0.000274075,0.000465329,0.280061068,0,0,treatment,AOM/DSS_ steroid-injected,Song et al. 2022,Negative,AOM/DSS_ steroid-injected_Song et al. 2022_Negative
184,0bb1c8431343726b5826ba41bceb2deb,d__Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Turicibacter,NA,6.822068656,9.252492008,2.209363393,-6.93144147,5.241004982,-1.145432548,0.104058368,0.000131902,0.02702355,1.43813355454672e-05,0.007272532,treatment,APOE2/E2_fecal,Zajac et al. 2022,Negative,APOE2/E2_fecal_Zajac et al. 2022_Negative
185,aa18f1f0f79b19771025041b36843ee6,d__Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium_sensu_stricto_1,NA,1.090750664,4.632763552,-1.588291937,-7.149979118,6.175150854,-1.080082635,0.12187508,0.000176325,0.026444466,0.0001576,0.025643501,treatment,APOE2/E2_fecal,Zajac et al. 2022,Negative,APOE2/E2_fecal_Zajac et al. 2022_Negative
186,e9d0f617be5d6da4462b9ebf9333ac81,d__Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,Muribaculaceae,uncultured_bacterium,5.463379348,7.110945963,2.064933287,-4.452903219,5.903392176,-0.76252814,0.159209215,0.003246158,0.197906775,0.000200027,0.035720661,treatment,APOE2/E2_fecal,Zajac et al. 2022,Negative,APOE2/E2_fecal_Zajac et al. 2022_Negative
177,54f3fa8080e96ee8c48b77627ac0ae3a,d__Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,NA,12.26711838,12.61455673,3.902520087,-9.106943805,8.73667775,-1.677266515,0.000547999,0.303011663,1,0,0,treatment,APOE2/E2_small bowel,Zajac et al. 2022,Negative,APOE2/E2_small bowel_Zajac et al. 2022_Negative
178,8c29c0ac4bed029ebbeb22b3935cc8bb,d__Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,NA,12.42010732,12.80969893,6.404311218,-6.558828252,6.471220946,-1.572342537,0.000547999,0.318495867,1,0,0,treatment,APOE2/E2_small bowel,Zajac et al. 2022,Negative,APOE2/E2_small bowel_Zajac et al. 2022_Negative
179,0bb1c8431343726b5826ba41bceb2deb,d__Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Turicibacter,NA,6.549743588,8.413534198,0.503723578,-7.892345453,3.420645027,-2.245898602,0.000156633,0.000647819,0.099200641,0.000104445,0.043264678,treatment,APOE2/E3_cecal,Zajac et al. 2022,Negative,APOE2/E3_cecal_Zajac et al. 2022_Negative
