"","X","metric","Authors","subgroup","group","group_general","tissue","n_male","n_female","mean_female","mean_male","sd_female","sd_male","yi","vi","Protocol","genotype_intervention","hormonal_intervention","colitis_intervention","dietary_intervention","control"
"70",431,"Bray-Curtis","Strickland et al. 2021","Sigmodon_fulviventer_Skin_day0_Control","rats","rats","skin",5,3,0.397992693,0.490967073,0.269559798,0.257212086,0.308960405,0.544447057,"Strickland","no","no","no","no","treatment"
"71",435,"Bray-Curtis","Strickland et al. 2021","Sigmodon_fulviventer_Fecal_day21_Control","rats","rats","fecal",10,3,0.377685949,0.429544479,0.108292872,0.060989186,0.670352443,0.457569756,"Strickland","no","no","no","no","treatment"
"72",439,"Bray-Curtis","Strickland et al. 2021","Sigmodon_fulviventer_Ear_day0_Control","rats","rats","ear",4,3,0.446041147,0.525437354,0.346679962,0.215891603,0.242071696,0.592191913,"Strickland","no","no","no","no","treatment"
"73",443,"Bray-Curtis","Strickland et al. 2021","Sigmodon_hispidus_Fecal_day7_Control","rats","rats","fecal",5,9,0.472853648,0.379450352,0.137896497,0.072162596,-0.728177472,0.336929796,"Strickland","no","no","no","no","treatment"
"74",447,"Bray-Curtis","Strickland et al. 2021","Sigmodon_fulviventer_Skin_day28_Control","rats","rats","skin",10,3,0.480676967,0.624843451,0.068177738,0.048687294,2.540668022,0.781476569,"Strickland","no","no","no","no","treatment"
"75",451,"Bray-Curtis","Strickland et al. 2021","Sigmodon_hispidus_Fecal_day0_Control","rats","rats","fecal",15,9,0.444830611,0.506787438,0.073444158,0.065447219,0.873697425,0.196617155,"Strickland","no","no","no","no","treatment"
"76",455,"Bray-Curtis","Strickland et al. 2021","Sigmodon_fulviventer_Fecal_day14_Control","rats","rats","fecal",10,3,0.422411919,0.483023706,0.102162786,0.147188186,0.402381342,0.442065817,"Strickland","no","no","no","no","treatment"
"77",459,"Bray-Curtis","Strickland et al. 2021","Sigmodon_fulviventer_Nose_day28_Control","rats","rats","nose",10,3,0.525402623,0.546239683,0.098570768,0.048146878,0.320161225,0.438861735,"Strickland","no","no","no","no","treatment"
"78",463,"Bray-Curtis","Strickland et al. 2021","Sigmodon_fulviventer_Ear_day28_Control","rats","rats","ear",10,3,0.532283061,0.580649116,0.118418881,0.06836308,0.563402084,0.450453146,"Strickland","no","no","no","no","treatment"
"79",467,"Bray-Curtis","Strickland et al. 2021","Sigmodon_fulviventer_Fecal_day7_Control","rats","rats","fecal",10,3,0.370436652,0.449402522,0.032601367,0.074434734,1.068164391,0.494870615,"Strickland","no","no","no","no","treatment"
"80",471,"Bray-Curtis","Strickland et al. 2021","Sigmodon_hispidus_Fecal_day21_Control","rats","rats","fecal",5,9,0.447421141,0.387293179,0.039895499,0.080426067,-0.992167719,0.359043583,"Strickland","no","no","no","no","treatment"
"81",475,"Bray-Curtis","Strickland et al. 2021","Sigmodon_fulviventer_Ear_day7_Control","rats","rats","ear",10,3,0.498563357,0.505787749,0.202903803,0.139640539,0.043882431,0.433437192,"Strickland","no","no","no","no","treatment"
"82",167,"Bray-Curtis","Sun et al. 2020","High fat","dietary intervention","dietary intervention","fecal",8,7,0.304145915,0.372281663,0.088603286,0.131245387,0.564529539,0.282000036,"Sun","no","no","no","yes","treatment"
"83",171,"Bray-Curtis","Sun et al. 2020","Pomctm1/tm1, High fat","dietary intervention, genotype (obesity)","dietary intervention, genotype","fecal",8,7,0.32523719,0.368563344,0.116420716,0.115599138,0.351521684,0.273340786,"Sun","yes","no","no","yes","treatment"
"84",175,"Bray-Curtis","Sun et al. 2020","Control","control","control","fecal",8,8,0.305667604,0.360970015,0.118594435,0.106843744,0.463149761,0.258744334,"Sun","no","no","no","no","control"
"85",179,"Bray-Curtis","Sun et al. 2020","Pomctm1/tm1","genotype (obesity)","genotype","fecal",8,8,0.360111689,0.361939653,0.059991633,0.123800263,0.017763277,0.250012863,"Sun","yes","no","no","no","treatment"
"86",183,"Bray-Curtis","Tam et al. 2020","Smoke exposed_cecal","smoke-exposed","smoke-exposed","cecal",10,10,0.402183309,0.343082487,0.056041277,0.055778322,-1.012300797,0.231508219,"Tam","no","no","no","no","treatment"
"87",187,"Bray-Curtis","Tam et al. 2020","Control_cecal","control","control","cecal",10,10,0.397532017,0.389357129,0.049888445,0.113225937,-0.08948062,0.200246186,"Tam","no","no","no","no","control"
"88",243,"Bray-Curtis","Tashiro et al. 2020","Cellulose","dietary intervention (dietary fiber)","dietary intervention","fecal",8,8,0.239443524,0.307769018,0.093352686,0.145402682,0.528617041,0.261391113,"Tashiro","no","no","no","yes","treatment"
"89",247,"Bray-Curtis","Tashiro et al. 2020","Pectin","dietary intervention (dietary fiber)","dietary intervention","fecal",8,8,0.332111689,0.309885656,0.188145978,0.138046791,-0.127326498,0.250660878,"Tashiro","no","no","no","yes","treatment"
"90",251,"Bray-Curtis","Tashiro et al. 2020","Control","control","control","fecal",8,8,0.345132628,0.268274324,0.153795989,0.175961117,-0.439654756,0.257879659,"Tashiro","no","no","no","no","control"
"91",255,"Bray-Curtis","Tashiro et al. 2020","Fiberfree","dietary intervention","dietary intervention","fecal",8,8,0.197357621,0.208871317,0.085336293,0.093572856,0.121539221,0.250602167,"Tashiro","no","no","no","yes","treatment"
"92",111,"Bray-Curtis","Velasco et al. 2021","C57BL/6J","control","control","fecal",4,4,0.115704139,0.156416636,0.06563974,0.027791229,0.701623931,0.557314267,"Velasco","no","no","no","no","control"
"93",115,"Bray-Curtis","Velasco et al. 2021","MRL/MpJ","genotype (primed tissue regeneration abilities)","genotype","fecal",4,4,0.240932279,0.217383063,0.061268877,0.06758192,-0.317126013,0.511708943,"Velasco","yes","no","no","no","treatment"
"94",295,"Bray-Curtis","Weng et al. 2019","APOE4_APP transgene +","genotype (prime Alzheimer), AD transgenic ","genotype, AD transgenic ","fecal",19,24,0.39156079,0.414397333,0.066790804,0.106647137,0.258907743,0.095152067,"Weng","yes","no","no","no","treatment"
"95",299,"Bray-Curtis","Weng et al. 2019","APOE2_APP transgene +","genotype (neuroprotective against Alzheimer), AD transgenic ","genotype, AD transgenic ","fecal",6,11,0.40498539,0.406279755,0.116443814,0.153883252,0.009439783,0.257579117,"Weng","yes","no","no","no","treatment"
"96",303,"Bray-Curtis","Weng et al. 2019","APOE3_APP transgene -","genotype (neutral)","genotype","fecal",20,15,0.444586827,0.418863619,0.144660328,0.096595567,-0.210542904,0.117375783,"Weng","yes","no","no","no","treatment"
"97",307,"Bray-Curtis","Weng et al. 2019","APOE2_APP transgene -","genotype (neuroprotective against Alzheimer)","genotype","fecal",16,18,0.437715423,0.418111496,0.090674325,0.074447078,-0.229329861,0.118924668,"Weng","yes","no","no","no","treatment"
"98",311,"Bray-Curtis","Weng et al. 2019","APOE3_APP transgene +","genotype (neutral), AD transgenic ","genotype, AD transgenic ","fecal",13,21,0.404053724,0.360891546,0.082223103,0.048742484,-0.58915279,0.130278147,"Weng","yes","no","no","no","treatment"
"99",315,"Bray-Curtis","Weng et al. 2019","APOE4_APP transgene -","genotype (prime Alzheimer)","genotype","fecal",32,24,0.413566746,0.436070957,0.121353789,0.097486413,0.20489879,0.073318395,"Weng","yes","no","no","no","treatment"
"100",211,"Bray-Curtis","Wolfe et al. 2020","Smad3-/-_healthy_SFB-_fecal","genotype (deficient immunity)","genotype","fecal",158,135,0.450128389,0.413767685,0.100161549,0.126121133,-0.315643923,0.013908744,"Wolfe","yes","no","no","no","treatment"
"101",215,"Bray-Curtis","Wolfe et al. 2020","Smad3-/-_healthy_SFB+_fecal","genotype (deficient immunity), microbe intervention","genotype, microbe intervention","fecal",156,49,0.340912291,0.315331681,0.124247122,0.108587502,-0.226567609,0.026945954,"Wolfe","yes","no","no","no","treatment"
"102",219,"Bray-Curtis","Wolfe et al. 2020","Smad3-/-_CRC_SFB-_fecal","genotype (deficient immunity), colitis and inflammatory intervention","genotype, colitis and inflammatory intervention","fecal",34,83,0.437696285,0.371121289,0.093358866,0.132964574,-0.622518722,0.04317088,"Wolfe","yes","no","yes","no","treatment"
"103",223,"Bray-Curtis","Wolfe et al. 2020","Smad3-/-_CRC_SFB+_fecal","genotype (deficient immunity), colitis and inflammatory intervention, microbe intervention","genotype, colitis and inflammatory intervention, microbe intervention","fecal",10,68,0.41938228,0.263216197,0.125268637,0.071320368,-1.286870921,0.125857265,"Wolfe","yes","no","yes","no","treatment"
"104",227,"Bray-Curtis","Wolfe et al. 2020","Smad3-/-_CRC_SFB-_cecal","genotype (deficient immunity), colitis and inflammatory intervention","genotype, colitis and inflammatory intervention","cecal",2,7,0.363178678,0.255082039,0.137711278,5.55e-17,-0.753057722,0.696496032,"Wolfe","yes","no","yes","no","treatment"
"105",231,"Bray-Curtis","Wolfe et al. 2020","Smad3-/-_healthy_SFB-_cecal","genotype (deficient immunity)","genotype","cecal",15,10,0.389115397,0.380797622,0.154623671,0.178369733,-0.047458802,0.166719641,"Wolfe","yes","no","no","no","treatment"
"106",235,"Bray-Curtis","Wolfe et al. 2020","Smad3-/-_healthy_SFB+_cecal","genotype (deficient immunity), microbe intervention","genotype, microbe intervention","cecal",15,5,0.227449465,0.260326721,0.077068197,0.138010321,0.247872471,0.268555794,"Wolfe","yes","no","no","no","treatment"
"107",239,"Bray-Curtis","Wolfe et al. 2020","Smad3-/-_CRC_SFB+_cecal","genotype (deficient immunity), colitis and inflammatory intervention, microbe intervention","genotype, colitis and inflammatory intervention, microbe intervention","cecal",1,7,0.376566153,0,0.049497611,NA,NA,NA,"Wolfe","yes","no","yes","no","treatment"
"108",479,"Bray-Curtis","Zajac et al. 2022","APOE4/E4_fecal","genotype (prime Alzheimer)","genotype","fecal",15,19,0.338594658,0.35273548,0.075779144,0.070565371,0.187730056,0.119880647,"Zajac","yes","no","no","no","treatment"
"109",483,"Bray-Curtis","Zajac et al. 2022","APOE2/E3_fecal","genotype (neuroprotective against Alzheimer to neutral)","genotype","fecal",21,36,0.35574781,0.352681064,0.05535795,0.061579238,-0.052423116,0.075422628,"Zajac","yes","no","no","no","treatment"
"110",487,"Bray-Curtis","Zajac et al. 2022","APOE3/E4_fecal","genotype (neutral to prime Alzheimer)","genotype","fecal",32,23,0.349410171,0.375544904,0.064370305,0.060057588,0.416307,0.076418984,"Zajac","yes","no","no","no","treatment"
"111",491,"Bray-Curtis","Zajac et al. 2022","APOE3_fecal","genotype (neutral)","genotype","fecal",6,7,0.286146411,0.281440441,0.081161456,0.106774271,-0.046718157,0.309641525,"Zajac","yes","no","no","no","treatment"
"112",495,"Bray-Curtis","Zajac et al. 2022","APOE2/E2_fecal","genotype (neuroprotective against Alzheimer)","genotype","fecal",15,21,0.319416852,0.398334896,0.077149075,0.058522481,1.10103505,0.133077314,"Zajac","yes","no","no","no","treatment"
"113",499,"Bray-Curtis","Zajac et al. 2022","APOE2/E2_cecal","genotype (neuroprotective against Alzheimer)","genotype","cecal",5,6,0.359863764,0.403055973,0.054114413,0.055335773,0.722133823,0.402500612,"Zajac","yes","no","no","no","treatment"
"114",503,"Bray-Curtis","Zajac et al. 2022","APOE4/E4_small bowel","genotype (prime Alzheimer)","genotype","small bowel",3,3,0.353109513,0.343102197,0.214773723,0.100213355,-0.047645147,0.667153826,"Zajac","yes","no","no","no","treatment"
"115",507,"Bray-Curtis","Zajac et al. 2022","APOE3/E3_fecal","genotype (neutral)","genotype","fecal",41,15,0.332397395,0.396664773,0.036663052,0.089785188,0.7971291,0.097137016,"Zajac","yes","no","no","no","treatment"
"116",511,"Bray-Curtis","Zajac et al. 2022","APOE4_fecal","genotype (prime Alzheimer)","genotype","fecal",7,7,0.309274793,0.319926945,0.095931387,0.08877327,0.107872928,0.286280896,"Zajac","yes","no","no","no","treatment"
