"","X","Authors","metric","subgroup","group","group_general","tissue","CN","EN","yi","vi","stats","Protocol","genotype_intervention","hormonal_intervention","colitis_intervention","dietary_intervention","control"
"71",71,"Strickland et al. 2021","Chao1","Sigmodon_fulviventer_Ear_day7_Control","rats","rats","ear",10,3,0.671123145,0.747177841,"lnCVR","Strickland","no","no","no","no","treatment"
"72",72,"Strickland et al. 2021","Chao1","Sigmodon_fulviventer_Ear_day95_Control","rats","rats","ear",10,NA,NA,NA,"lnCVR","Strickland","no","no","no","no","treatment"
"73",73,"Strickland et al. 2021","Chao1","Sigmodon_fulviventer_Fecal_day0_Control","rats","rats","fecal",20,3,0.039123479,0.433770177,"lnCVR","Strickland","no","no","no","no","treatment"
"74",74,"Strickland et al. 2021","Chao1","Sigmodon_fulviventer_Fecal_day111_Control","rats","rats","fecal",10,NA,NA,NA,"lnCVR","Strickland","no","no","no","no","treatment"
"75",75,"Strickland et al. 2021","Chao1","Sigmodon_fulviventer_Fecal_day14_Control","rats","rats","fecal",10,3,-0.020763879,0.515336052,"lnCVR","Strickland","no","no","no","no","treatment"
"76",76,"Strickland et al. 2021","Chao1","Sigmodon_fulviventer_Fecal_day21_Control","rats","rats","fecal",10,3,0.219251675,0.459157418,"lnCVR","Strickland","no","no","no","no","treatment"
"77",77,"Strickland et al. 2021","Chao1","Sigmodon_fulviventer_Fecal_day28_Control","rats","rats","fecal",10,3,-0.317904848,0.449659105,"lnCVR","Strickland","no","no","no","no","treatment"
"78",78,"Strickland et al. 2021","Chao1","Sigmodon_fulviventer_Fecal_day34_Control","rats","rats","fecal",10,NA,NA,NA,"lnCVR","Strickland","no","no","no","no","treatment"
"79",79,"Strickland et al. 2021","Chao1","Sigmodon_fulviventer_Fecal_day4_Control","rats","rats","fecal",10,NA,NA,NA,"lnCVR","Strickland","no","no","no","no","treatment"
"80",80,"Strickland et al. 2021","Chao1","Sigmodon_fulviventer_Fecal_day7_Control","rats","rats","fecal",10,3,0.02329631,0.4621031,"lnCVR","Strickland","no","no","no","no","treatment"
"81",81,"Strickland et al. 2021","Chao1","Sigmodon_fulviventer_Nose_day0_Control","rats","rats","nose",5,3,0.45964439,0.640163339,"lnCVR","Strickland","no","no","no","no","treatment"
"82",82,"Strickland et al. 2021","Chao1","Sigmodon_fulviventer_Nose_day28_Control","rats","rats","nose",10,3,-1.129549031,0.508352929,"lnCVR","Strickland","no","no","no","no","treatment"
"83",83,"Strickland et al. 2021","Chao1","Sigmodon_fulviventer_Nose_day7_Control","rats","rats","nose",10,3,-0.554644843,0.590511326,"lnCVR","Strickland","no","no","no","no","treatment"
"84",84,"Strickland et al. 2021","Chao1","Sigmodon_fulviventer_Nose_day95_Control","rats","rats","nose",10,NA,NA,NA,"lnCVR","Strickland","no","no","no","no","treatment"
"85",85,"Strickland et al. 2021","Chao1","Sigmodon_fulviventer_Skin_day0_Control","rats","rats","skin",5,3,-0.317472805,0.599528264,"lnCVR","Strickland","no","no","no","no","treatment"
"86",86,"Strickland et al. 2021","Chao1","Sigmodon_fulviventer_Skin_day28_Control","rats","rats","skin",10,3,0.097824777,0.644703867,"lnCVR","Strickland","no","no","no","no","treatment"
"87",87,"Strickland et al. 2021","Chao1","Sigmodon_fulviventer_Skin_day7_Control","rats","rats","skin",10,3,-0.623439066,0.47865027,"lnCVR","Strickland","no","no","no","no","treatment"
"88",88,"Strickland et al. 2021","Chao1","Sigmodon_fulviventer_Skin_day95_Control","rats","rats","skin",9,NA,NA,NA,"lnCVR","Strickland","no","no","no","no","treatment"
"89",89,"Strickland et al. 2021","Chao1","Sigmodon_hispidus_Ear_day0_Control","rats","rats","ear",NA,9,NA,NA,"lnCVR","Strickland","no","no","no","no","treatment"
"90",90,"Strickland et al. 2021","Chao1","Sigmodon_hispidus_Ear_day28_Control","rats","rats","ear",5,9,0.367239582,0.349220753,"lnCVR","Strickland","no","no","no","no","treatment"
"91",91,"Strickland et al. 2021","Chao1","Sigmodon_hispidus_Ear_day7_Control","rats","rats","ear",5,9,-0.736637105,0.272521509,"lnCVR","Strickland","no","no","no","no","treatment"
"92",92,"Strickland et al. 2021","Chao1","Sigmodon_hispidus_Ear_day95_Control","rats","rats","ear",10,NA,NA,NA,"lnCVR","Strickland","no","no","no","no","treatment"
"93",93,"Strickland et al. 2021","Chao1","Sigmodon_hispidus_Fecal_day0_Control","rats","rats","fecal",15,9,-0.708897239,0.118193478,"lnCVR","Strickland","no","no","no","no","treatment"
"94",94,"Strickland et al. 2021","Chao1","Sigmodon_hispidus_Fecal_day111_Control","rats","rats","fecal",10,NA,NA,NA,"lnCVR","Strickland","no","no","no","no","treatment"
"95",95,"Strickland et al. 2021","Chao1","Sigmodon_hispidus_Fecal_day14_Control","rats","rats","fecal",5,9,0.007131102,0.249453849,"lnCVR","Strickland","no","no","no","no","treatment"
"96",96,"Strickland et al. 2021","Chao1","Sigmodon_hispidus_Fecal_day21_Control","rats","rats","fecal",5,9,0.991451637,0.258725522,"lnCVR","Strickland","no","no","no","no","treatment"
"97",97,"Strickland et al. 2021","Chao1","Sigmodon_hispidus_Fecal_day28_Control","rats","rats","fecal",5,9,1.646316501,0.260031476,"lnCVR","Strickland","no","no","no","no","treatment"
"98",98,"Strickland et al. 2021","Chao1","Sigmodon_hispidus_Fecal_day34_Control","rats","rats","fecal",9,NA,NA,NA,"lnCVR","Strickland","no","no","no","no","treatment"
"99",99,"Strickland et al. 2021","Chao1","Sigmodon_hispidus_Fecal_day4_Control","rats","rats","fecal",10,NA,NA,NA,"lnCVR","Strickland","no","no","no","no","treatment"
"100",100,"Strickland et al. 2021","Chao1","Sigmodon_hispidus_Fecal_day7_Control","rats","rats","fecal",5,9,0.595953978,0.240647,"lnCVR","Strickland","no","no","no","no","treatment"
"101",101,"Strickland et al. 2021","Chao1","Sigmodon_hispidus_Nose_day0_Control","rats","rats","nose",NA,9,NA,NA,"lnCVR","Strickland","no","no","no","no","treatment"
"102",102,"Strickland et al. 2021","Chao1","Sigmodon_hispidus_Nose_day28_Control","rats","rats","nose",5,8,-0.169986358,0.28901867,"lnCVR","Strickland","no","no","no","no","treatment"
"103",103,"Strickland et al. 2021","Chao1","Sigmodon_hispidus_Nose_day7_Control","rats","rats","nose",5,9,0.868919372,0.279513685,"lnCVR","Strickland","no","no","no","no","treatment"
"104",104,"Strickland et al. 2021","Chao1","Sigmodon_hispidus_Nose_day95_Control","rats","rats","nose",10,NA,NA,NA,"lnCVR","Strickland","no","no","no","no","treatment"
"105",105,"Strickland et al. 2021","Chao1","Sigmodon_hispidus_Skin_day0_Control","rats","rats","skin",NA,9,NA,NA,"lnCVR","Strickland","no","no","no","no","treatment"
"106",106,"Strickland et al. 2021","Chao1","Sigmodon_hispidus_Skin_day28_Control","rats","rats","skin",5,9,-0.458452949,0.314781707,"lnCVR","Strickland","no","no","no","no","treatment"
"107",107,"Strickland et al. 2021","Chao1","Sigmodon_hispidus_Skin_day7_Control","rats","rats","skin",5,8,-0.034989593,0.294741646,"lnCVR","Strickland","no","no","no","no","treatment"
"108",108,"Strickland et al. 2021","Chao1","Sigmodon_hispidus_Skin_day95_Control","rats","rats","skin",10,NA,NA,NA,"lnCVR","Strickland","no","no","no","no","treatment"
"109",109,"Sun et al. 2020","Chao1","Control","control","control","fecal",8,8,-0.399910729,0.174550741,"lnCVR","Sun","no","no","no","no","control"
"110",110,"Sun et al. 2020","Chao1","High fat","dietary intervention","dietary intervention","fecal",8,7,-0.190782148,0.186153125,"lnCVR","Sun","no","no","no","yes","treatment"
"111",111,"Sun et al. 2020","Chao1","Pomctm1/tm1","genotype (obesity)","genotype","fecal",8,8,0.620460293,0.171930763,"lnCVR","Sun","yes","no","no","no","treatment"
"112",112,"Sun et al. 2020","Chao1","Pomctm1/tm1, High fat","dietary intervention, genotype (obesity)","dietary intervention, genotype","fecal",8,7,-0.012051854,0.1921326,"lnCVR","Sun","yes","no","no","yes","treatment"
"113",113,"Tam et al. 2020","Chao1","""Smoke exposed, ovariectomy""","smoke-exposed, hormonal intervention (neutered female)","smoke-exposed, hormonal intervention","cecal",NA,8,NA,NA,"lnCVR","Tam","no","yes","no","no","treatment"
"114",114,"Tam et al. 2020","Chao1","Control","control","control","cecal",10,10,-0.355729857,0.132647913,"lnCVR","Tam","no","no","no","no","control"
"115",115,"Tam et al. 2020","Chao1","Smoke exposed","smoke-exposed","smoke-exposed","cecal",10,10,-0.327326822,0.127029136,"lnCVR","Tam","no","no","no","no","treatment"
"116",116,"Tam et al. 2020","Chao1","ovariectomy","hormonal intervention (neutered female)","hormonal intervention","cecal",NA,10,NA,NA,"lnCVR","Tam","no","yes","no","no","treatment"
"117",117,"Tashiro et al. 2020","Chao1","Cellulose","dietary intervention (dietary fiber)","dietary intervention","fecal",8,8,-0.651673251,0.168454429,"lnCVR","Tashiro","no","no","no","yes","treatment"
"118",118,"Tashiro et al. 2020","Chao1","Control","control","control","fecal",8,8,0.185708626,0.168697671,"lnCVR","Tashiro","no","no","no","no","control"
"119",119,"Tashiro et al. 2020","Chao1","Fiberfree","dietary intervention (dietary fiber)","dietary intervention","fecal",8,8,0.048786832,0.168346351,"lnCVR","Tashiro","no","no","no","yes","treatment"
"120",120,"Tashiro et al. 2020","Chao1","Pectin","dietary intervention (dietary fiber)","dietary intervention","fecal",8,8,-0.283960073,0.19573695,"lnCVR","Tashiro","no","no","no","yes","treatment"
"121",121,"Velasco et al. 2021","Chao1","C57BL/6J","control","control","fecal",4,4,1.059307955,0.454002448,"lnCVR","Velasco","no","no","no","no","control"
"122",122,"Velasco et al. 2021","Chao1","MRL/MpJ","genotype (primed tissue regeneration abilities)","genotype","fecal",4,4,-0.194261242,0.454992245,"lnCVR","Velasco","yes","no","no","no","treatment"
"123",123,"Weng et al. 2019","Chao1","APOE2_APP transgene +","genotype (neuroprotective against Alzheimer), AD transgenic ","genotype, AD transgenic ","fecal",6,11,0.202381094,0.177965708,"lnCVR","Weng","yes","no","no","no","treatment"
"124",124,"Weng et al. 2019","Chao1","APOE2_APP transgene -","genotype (neuroprotective against Alzheimer)","genotype","fecal",16,18,-0.059605541,0.07106886,"lnCVR","Weng","yes","no","no","no","treatment"
"125",125,"Weng et al. 2019","Chao1","APOE3_APP transgene +","genotype (neutral), AD transgenic ","genotype, AD transgenic ","fecal",13,21,0.066479237,0.083881198,"lnCVR","Weng","yes","no","no","no","treatment"
"126",126,"Weng et al. 2019","Chao1","APOE3_APP transgene -","genotype (neutral)","genotype","fecal",20,15,-0.239905589,0.112629066,"lnCVR","Weng","yes","no","no","no","treatment"
"127",127,"Weng et al. 2019","Chao1","APOE4_APP transgene +","genotype (prime Alzheimer), AD transgenic ","genotype, AD transgenic ","fecal",19,24,0.058355609,0.064871819,"lnCVR","Weng","yes","no","no","no","treatment"
"128",128,"Weng et al. 2019","Chao1","APOE4_APP transgene -","genotype (prime Alzheimer)","genotype","fecal",32,24,0.018990224,0.059149352,"lnCVR","Weng","yes","no","no","no","treatment"
"129",129,"Wolfe et al. 2020","Chao1","Smad3-/-_CRC_SFB+_cecal","genotype (deficient immunity), colitis and inflammatory intervention, microbe intervention","genotype, colitis and inflammatory intervention, microbe intervention","cecal",1,7,NA,NA,"lnCVR","Wolfe","yes","no","yes","no","treatment"
"130",130,"Wolfe et al. 2020","Chao1","Smad3-/-_CRC_SFB+_fecal","genotype (deficient immunity), colitis and inflammatory intervention, microbe intervention","genotype, colitis and inflammatory intervention, microbe intervention","fecal",10,68,0.814319912,0.077845008,"lnCVR","Wolfe","yes","no","yes","no","treatment"
"131",131,"Wolfe et al. 2020","Chao1","Smad3-/-_CRC_SFB-_cecal","genotype (deficient immunity), colitis and inflammatory intervention","genotype, colitis and inflammatory intervention","cecal",2,7,0.856697671,1.119503114,"lnCVR","Wolfe","yes","no","yes","no","treatment"
"132",132,"Wolfe et al. 2020","Chao1","Smad3-/-_CRC_SFB-_fecal","genotype (deficient immunity), colitis and inflammatory intervention","genotype, colitis and inflammatory intervention","fecal",34,83,-0.005811418,0.031001265,"lnCVR","Wolfe","yes","no","yes","no","treatment"
"133",133,"Wolfe et al. 2020","Chao1","Smad3-/-_healthy_SFB+_cecal","genotype (deficient immunity), microbe intervention","genotype, microbe intervention","cecal",15,5,-0.470346376,0.207194086,"lnCVR","Wolfe","yes","no","no","no","treatment"
"134",134,"Wolfe et al. 2020","Chao1","Smad3-/-_healthy_SFB+_fecal","genotype (deficient immunity), microbe intervention","genotype, microbe intervention","fecal",156,49,0.329187911,0.017641295,"lnCVR","Wolfe","yes","no","no","no","treatment"
"135",135,"Wolfe et al. 2020","Chao1","Smad3-/-_healthy_SFB-_cecal","genotype (deficient immunity)","genotype","cecal",15,10,0.428502548,0.14952754,"lnCVR","Wolfe","yes","no","no","no","treatment"
"136",136,"Wolfe et al. 2020","Chao1","Smad3-/-_healthy_SFB-_fecal","genotype (deficient immunity)","genotype","fecal",158,135,0.430470439,0.01087106,"lnCVR","Wolfe","yes","no","no","no","treatment"
"137",137,"Zajac et al. 2022","Chao1","APOE2/E2_cecal","genotype (neuroprotective against Alzheimer)","genotype","cecal",5,6,-0.526019463,0.281293416,"lnCVR","Zajac","yes","no","no","no","treatment"
"138",138,"Zajac et al. 2022","Chao1","APOE2/E2_fecal","genotype (neuroprotective against Alzheimer)","genotype","fecal",15,21,0.105092064,0.069087706,"lnCVR","Zajac","yes","no","no","no","treatment"
"139",139,"Zajac et al. 2022","Chao1","APOE2/E2_small bowel","genotype (neuroprotective against Alzheimer)","genotype","small bowel",2,3,1.572028036,1.438880832,"lnCVR","Zajac","yes","no","no","no","treatment"
"140",140,"Zajac et al. 2022","Chao1","APOE2/E3_cecal","genotype (neuroprotective against Alzheimer to neutral)","genotype","cecal",7,10,-0.208055691,0.161024967,"lnCVR","Zajac","yes","no","no","no","treatment"
"141",141,"Zajac et al. 2022","Chao1","APOE2/E3_fecal","genotype (neuroprotective against Alzheimer to neutral)","genotype","fecal",21,36,0.304443604,0.042460777,"lnCVR","Zajac","yes","no","no","no","treatment"
"142",142,"Zajac et al. 2022","Chao1","APOE2/E3_small bowel","genotype (neuroprotective against Alzheimer to neutral)","genotype","small bowel",1,NA,NA,NA,"lnCVR","Zajac","yes","no","no","no","treatment"
"143",143,"Zajac et al. 2022","Chao1","APOE2_fecal","genotype (neuroprotective against Alzheimer)","genotype","fecal",8,7,0.335053375,0.182068028,"lnCVR","Zajac","yes","no","no","no","treatment"
